"","receiver","gsis_id","games","hPPR_pts","exp_hPPR_pts","exp_hPPR_pts_pg","hPPR_over_exp"
"1","A.Isabella","00-0035527",11,44.9,53.0061266387982,4.81873878534529,-8.10612663879819
"2","C.Edmonds","00-0034681",16,90.7,81.414762387169,5.08842264919806,9.285237612831
"3","C.Kirk","00-0034775",14,122.1,126.265704187116,9.01897887050829,-4.16570418711606
"4","D.Arnold","00-0034011",14,83.3,71.4587366316862,5.10419547369187,11.8412633683138
"5","D.Daniels","00-0033258",8,19.2,14.4843793031488,1.8105474128936,4.71562069685123
"6","D.Hopkins","00-0030564",16,234.2,229.330512776817,14.333157048551,4.8694872231832
"7","K.Drake","00-0033118",14,26.2,31.8374021694576,2.27410015496126,-5.63740216945758
"8","K.Johnson","00-0035287",8,24.8,33.6347029553348,4.20433786941684,-8.83470295533476
"9","L.Fitzgerald","00-0022921",13,73.9,93.0498201673895,7.15767847441457,-19.1498201673895
"10","M.Williams","00-0031558",6,20.2,13.3411535321202,2.22352558868671,6.85884646787976
"11","B.Hill","00-0033567",14,32.4,30.370177463286,2.16929839023471,2.02982253671404
"12","B.Powell","00-0034646",9,24.9,23.0977082620203,2.56641202911336,1.80229173797975
"13","C.Blake","00-0034132",7,20.6,24.2413518817174,3.46305026881677,-3.64135188171742
"14","C.Ridley","00-0034837",15,237.6,242.917418423414,16.1944945615609,-5.31741842341378
"15","H.Hurst","00-0034830",16,119.9,121.628178545614,7.60176115910089,-1.72817854561428
"16","I.Smith","00-0034378",10,16,29.7996619634605,2.97996619634605,-13.7996619634605
"17","J.Jones","00-0027944",9,120.6,104.167881716696,11.5742090796329,16.4321182833037
"18","K.Smith","00-0030968",10,11.4,15.230105055672,1.5230105055672,-3.83010505567198
"19","L.Treadwell","00-0032951",4,19.9,12.5764981571358,3.14412453928395,7.32350184286419
"20","O.Zaccheaus","00-0035208",8,43.4,46.1944147712463,5.77430184640578,-2.79441477124628
"21","R.Gage","00-0034411",16,138.6,153.252609951199,9.57828812194993,-14.6526099511989
"22","T.Gurley","00-0032241",13,28.9,36.7737429980621,2.82874946138939,-7.87374299806207
"23","D.Bryant","00-0027902",4,19.7,16.1846702219219,4.04616755548047,3.51532977807812
"24","D.Duvernay","00-0036331",13,30.1,31.9354132427206,2.45657024944005,-1.83541324272059
"25","G.Edwards","00-0034184",8,17.4,14.2360581004074,1.77950726255092,3.16394189959263
"26","J.Dobbins","00-0036158",11,21,26.4009583970231,2.4000871270021,-5.40095839702308
"27","M.Andrews","00-0034753",14,141.1,141.510648435787,10.107903459699,-0.410648435786641
"28","M.Boykin","00-0035703",13,60.1,54.3711959828246,4.1823996909865,5.72880401717544
"29","M.Brown","00-0035662",16,153.9,154.932151141144,9.68325944632149,-1.03215114114386
"30","N.Boyle","00-0031598",9,30.3,23.2587128796953,2.58430143107725,7.04128712030475
"31","P.Ricard","00-0033376",8,15,17.202026005676,2.1502532507095,-2.20202600567596
"32","W.Snead","00-0030663",13,77.7,68.0596194544408,5.23535534264929,9.64038054555924
"33","C.Beasley","00-0029000",15,161.7,144.794422752085,9.65296151680563,16.9055772479155
"34","D.Knox","00-0035689",11,58.8,68.5923597057935,6.23566906416304,-9.79235970579347
"35","D.Singletary","00-0035250",16,45.9,54.9722642827904,3.4357665176744,-9.07226428279045
"36","G.Davis","00-0036196",16,119.4,105.771430591247,6.61071441195294,13.628569408753
"37","I.McKenzie","00-0033466",14,73.2,45.6174418967706,3.25838870691219,27.5825581032294
"38","J.Brown","00-0031051",9,80.3,79.75886664665,8.86209629407222,0.541133353350006
"39","L.Smith","00-0028097",5,17.5,14.4073606156348,2.88147212312696,3.09263938436522
"40","S.Diggs","00-0031588",16,265,224.356872073669,14.0223045046043,40.6431279263306
"41","T.Kroft","00-0032214",6,35.9,27.3238364213535,4.55397273689224,8.57616357864653
"42","Z.Moss","00-0036251",10,22.5,22.5181405536895,2.25181405536895,-0.0181405536894523
"43","C.McCaffrey","00-0033280",3,29.1,20.3205251915439,6.7735083971813,8.7794748084561
"44","C.Samuel","00-0033282",15,141.9,124.346433445213,8.28976222968084,17.5535665547873
"45","D.Moore","00-0034827",15,176.3,181.234090336981,12.0822726891321,-4.93409033698126
"46","I.Thomas","00-0034365",13,30.5,39.4133300961418,3.03179462278014,-8.91333009614177
"47","M.Davis","00-0032063",13,78.8,79.4057755224397,6.10813657864921,-0.6057755224397
"48","R.Anderson","00-0032688",16,175.1,180.016295865784,11.2510184916115,-4.9162958657837
"49","R.Smith","00-0035957",6,10.4,11.2291330120485,1.87152216867475,-0.829133012048484
"50","A.Miller","00-0034353",16,85,109.856396760048,6.866024797503,-24.856396760048
"51","A.Robinson","00-0031428",16,212,215.973142720506,13.4983214200316,-3.97314272050573
"52","C.Kmet","00-0036290",13,50.3,58.2975233890675,4.48442487608211,-7.99752338906748
"53","C.Patterson","00-0030578",12,23.7,27.8551750645063,2.32126458870886,-4.15517506450628
"54","D.Montgomery","00-0035685",15,82.8,77.7388016475858,5.18258677650572,5.06119835241424
"55","D.Mooney","00-0036309",16,117.6,138.874799926598,8.6796749954124,-21.2747999265984
"56","J.Graham","00-0027696",16,118.6,119.863880580778,7.49149253629863,-1.26388058077805
"57","J.Wims","00-0034426",8,13.8,19.1244280222181,2.39055350277726,-5.32442802221812
"58","R.Nall","00-0034597",5,16.7,9.34038601166917,1.86807720233383,7.35961398833083
"59","A.Erickson","00-0032543",8,19.9,20.2754000835391,2.53442501044239,-0.375400083539088
"60","A.Green","00-0027942",16,87.8,163.0564013517,10.1910250844812,-75.2564013517
"61","A.Tate","00-0034686",8,22,33.1614777603661,4.14518472004576,-11.1614777603661
"62","C.Uzomah","00-0032134",2,18.7,17.5050041897216,8.7525020948608,1.19499581027839
"63","D.Sample","00-0035631",16,60.9,67.6554397917627,4.22846498698517,-6.75543979176275
"64","G.Bernard","00-0030456",15,77,64.6086842631412,4.30724561754274,12.3913157368588
"65","J.Mixon","00-0033897",6,30.3,28.5542937418767,4.75904895697946,1.74570625812326
"66","M.Thomas","00-0033114",10,25.7,25.6229176798117,2.56229176798117,0.0770823201883069
"67","S.Perine","00-0033526",7,12.1,12.8421057241493,1.83458653202133,-0.742105724149338
"68","T.Boyd","00-0033009",15,133.3,151.531300912782,10.1020867275188,-18.2313009127822
"69","T.Higgins","00-0036410",15,160.3,157.115593144849,10.4743728763233,3.18440685515051
"70","A.Hooper","00-0032392",13,90.5,98.1105869845891,7.54696822958377,-7.61058698458908
"71","D.Njoku","00-0033885",11,42.8,46.1684848585206,4.19713498713823,-3.36848485852055
"72","D.Peoples-Jones","00-0036233",7,49.4,30.6744594647557,4.38206563782225,18.7255405352443
"73","H.Bryant","00-0036232",12,53.8,54.3190681241409,4.52658901034508,-0.519068124140922
"74","J.Landry","00-0031382",15,138,139.394888288625,9.29299255257498,-1.39488828862466
"75","K.Hodge","00-0034854",7,23.5,25.0750472661706,3.58214960945294,-1.57504726617055
"76","K.Hunt","00-0033923",15,79.4,63.0095482802019,4.20063655201346,16.3904517197981
"77","N.Chubb","00-0034791",10,23,20.1088820507674,2.01088820507674,2.89111794923264
"78","O.Beckham","00-0031235",7,61.4,71.5566912624667,10.2223844660667,-10.1566912624667
"79","R.Higgins","00-0032977",12,102.4,80.4607141681992,6.7050595140166,21.9392858318008
"80","A.Cooper","00-0031544",16,187.4,188.006482870875,11.7504051794297,-0.606482870874999
"81","B.Bell","00-0032062",11,16.5,19.5039994126963,1.77309085569967,-3.00399941269634
"82","C.Lamb","00-0036358",16,160.5,164.337446639097,10.2710904149436,-3.83744663909732
"83","C.Wilson","00-0034418",8,39.4,41.0674490660977,5.13343113326221,-1.66744906609772
"84","D.Schultz","00-0034383",16,117,119.333606057235,7.45835037857719,-2.33360605723509
"85","E.Elliott","00-0033045",15,71.8,71.1298431436795,4.74198954291196,0.670156856320546
"86","M.Gallup","00-0034764",16,143.8,159.700093295486,9.98125583096789,-15.9000932954863
"87","N.Brown","00-0033591",9,22.4,31.4307173977539,3.49230193308377,-9.03071739775395
"88","T.Pollard","00-0035261",15,39.3,46.3922435390289,3.09281623593526,-7.09224353902894
"89","A.Okwuegbunam","00-0036423",4,23.6,26.1157729604333,6.52894324010832,-2.5157729604333
"90","D.Hamilton","00-0034370",12,52.8,66.9938428017355,5.58282023347796,-14.1938428017355
"91","J.Jeudy","00-0036407",16,129.6,165.949714849457,10.3718571780911,-36.3497148494572
"92","K.Hamler","00-0036412",10,71.1,77.0466494427708,7.70466494427708,-5.94664944277085
"93","M.Gordon","00-0032144",12,37.8,46.4499903969494,3.87083253307912,-8.64999039694943
"94","N.Fant","00-0035644",14,116.3,117.679920347426,8.4057085962447,-1.37992034742574
"95","N.Vannett","00-0032394",11,22.5,26.1788293281393,2.37989357528539,-3.67882932813928
"96","R.Freeman","00-0034838",8,14.1,12.6464571062581,1.58080713828226,1.45354289374189
"97","T.Fumagalli","00-0034393",7,18,24.5896114230856,3.51280163186937,-6.58961142308561
"98","T.Patrick","00-0033375",15,135.7,119.607844392485,7.97385629283233,16.092155607515
"99","A.Peterson","00-0025394",11,16.1,19.2540599930875,1.75036909028069,-3.15405999308755
"100","D.Amendola","00-0026035",14,83.2,92.7233857985234,6.62309898560881,-9.52338579852339
"101","D.Swift","00-0036275",13,70.7,67.1270952901909,5.16362271463007,3.57290470980909
"102","J.Agnew","00-0033572",11,15.4,22.5990309074409,2.0544573552219,-7.19903090744092
"103","J.James","00-0032135",12,31.9,31.8774335503877,2.65645279586564,0.0225664496123237
"104","K.Golladay","00-0033932",5,55.8,55.1863246462654,11.0372649292531,0.613675353734614
"105","K.Johnson","00-0034349",11,34.2,27.3148268195219,2.48316607450199,6.88517318047808
"106","M.Hall","00-0033094",10,49.5,49.7333715260539,4.97333715260539,-0.233371526053851
"107","M.Jones","00-0029293",16,189.8,183.596464720737,11.4747790450461,6.20353527926281
"108","M.Sanu","00-0029632",6,31.8,35.4887092477994,5.91478487463324,-3.68870924779941
"109","Q.Cephus","00-0036277",11,56.9,56.6483426578117,5.14984933252833,0.251657342188317
"110","T.Hockenson","00-0035229",16,141.8,153.904959538604,9.61905997116276,-12.1049595386042
"111","A.Jones","00-0033293",14,71,80.3315345815931,5.73796675582808,-9.33153458159315
"112","A.Lazard","00-0034521",10,79.6,66.756464725386,6.6756464725386,12.843535274614
"113","D.Adams","00-0031381",14,302.9,230.839653511597,16.4885466793998,72.0603464884034
"114","E.St","00-0034279",8,21.2,18.8551351464423,2.35689189330529,2.34486485355766
"115","J.Sternberger","00-0035671",8,23.4,20.7455230701053,2.59319038376316,2.65447692989473
"116","J.Williams","00-0033948",10,45.1,38.1304123958238,3.81304123958238,6.9695876041762
"117","M.Lewis","00-0024243",10,33.7,28.3157838432497,2.83157838432497,5.38421615675031
"118","M.Taylor","00-0035480",5,15.1,11.1745643767562,2.23491287535125,3.92543562324375
"119","M.Valdes-Scantling","00-0034272",14,121.5,97.7996817570503,6.98569155407502,23.7003182429497
"120","R.Tonyan","00-0033757",15,150.6,88.6656620958342,5.91104413972228,61.9343379041658
"121","T.Ervin","00-0032404",7,13.9,14.951905339266,2.135986477038,-1.05190533926599
"122","B.Cooks","00-0031236",15,190.8,181.148376233398,12.0765584155599,9.65162376660169
"123","C.Hansen","00-0033840",5,40.3,32.4747091544194,6.49494183088388,7.82529084558058
"124","C.Prosise","00-0032393",4,10.3,8.00231303999355,2.00057825999839,2.29768696000645
"125","D.Fells","00-0029738",12,65.7,40.3015525047091,3.35846270872576,25.3984474952909
"126","D.Johnson","00-0032257",14,74.7,72.3039356852084,5.16456683465774,2.39606431479159
"127","Da.Johnson","00-0032187",9,30.1,35.9255374338291,3.99172638153656,-5.82553743382907
"128","J.Akins","00-0034364",13,64.8,70.5208399995364,5.42467999996434,-5.72083999953645
"129","K.Coutee","00-0034366",8,74.5,68.0073900278452,8.50092375348066,6.49260997215475
"130","K.Stills","00-0030085",7,25.9,28.1069134392937,4.01527334847053,-2.20691343929371
"131","P.Brown","00-0033439",8,35.3,24.738171878407,3.09227148480087,10.561828121593
"132","R.Cobb","00-0028002",10,81.1,70.5036456261211,7.05036456261211,10.5963543738789
"133","W.Fuller","00-0033127",10,162.4,117.223165321581,11.7223165321581,45.1768346784189
"134","D.Harris","00-0035848",5,12.9,10.8599165850547,2.17198331701095,2.04008341494527
"135","J.Doyle","00-0030181",13,54.6,49.0464513640887,3.77280395108374,5.55354863591133
"136","J.Taylor","00-0036223",14,53.9,39.0798483523733,2.79141773945524,14.8201516476267
"137","J.Wilkins","00-0034400",10,16.5,17.4696389781603,1.74696389781603,-0.969638978160312
"138","M.Alie-Cox","00-0033217",14,66.9,54.2336929560466,3.87383521114618,12.6663070439534
"139","M.Johnson","00-0032980",8,32.5,43.7391977874139,5.46739972342674,-11.2391977874139
"140","M.Pittman","00-0036252",13,76.3,81.1402708749888,6.24155929807606,-4.84027087498878
"141","N.Hines","00-0034367",16,103.7,87.5810579811584,5.4738161238224,16.1189420188416
"142","P.Campbell","00-0035639",1,10.1,11.4547218153974,11.4547218153974,-1.35472181539738
"143","T.Burton","00-0030710",11,57,66.4168071173002,6.0378915561182,-9.41680711730024
"144","T.Hilton","00-0029608",15,134.2,145.337685436023,9.68917902906819,-11.1376854360228
"145","Z.Pascal","00-0033251",16,114.9,118.691231211736,7.41820195073351,-3.7912312117361
"146","C.Conley","00-0032128",14,79.1,89.0154399688583,6.35824571206131,-9.91543996885829
"147","C.Johnson","00-0036254",10,48.2,51.8601273739987,5.18601273739987,-3.66012737399866
"148","C.Thompson","00-0030404",6,30.6,25.7870648967727,4.29784414946212,4.81293510322731
"149","D.Chark Jr.","00-0034777",13,127.1,141.482952420106,10.8833040323159,-14.3829524201062
"150","D.Ogunbowale","00-0033854",7,10.4,20.4600230192571,2.92286043132244,-10.0600230192571
"151","J.Robinson","00-0035831",14,76.9,63.7657328682906,4.5546952048779,13.1342671317094
"152","K.Cole Sr.","00-0033681",16,121.7,131.116570985786,8.19478568661164,-9.41657098578621
"153","L.Shenault Jr.","00-0036268",14,119,104.166891102516,7.44049222160829,14.8331088974839
"154","T.Eifert","00-0030549",14,64.9,88.1506171951416,6.29647265679583,-23.2506171951416
"155","B.Pringle","00-0034297",5,28.5,23.5706709690547,4.71413419381095,4.92932903094527
"156","C.Edwards-Helaire","00-0036360",13,53.7,59.412384003068,4.57018338485138,-5.71238400306795
"157","D.Robinson","00-0032775",15,87.1,81.7681412962721,5.45120941975147,5.33185870372789
"158","D.Thompson","00-0035148",4,16,11.8695192051387,2.96737980128467,4.13048079486131
"159","Darr.Williams","00-0034301",12,20.6,27.0868285557674,2.25723571298062,-6.4868285557674
"160","L.Bell","00-0030496",8,16.4,19.305701093112,2.41321263663899,-2.90570109311196
"161","M.Hardman","00-0035140",16,100.5,86.8865201432572,5.43040750895358,13.6134798567428
"162","S.Watkins","00-0031325",10,72.6,77.1491960054732,7.71491960054732,-4.54919600547322
"163","T.Hill","00-0033040",15,261.1,209.3322910304,13.9554860686933,51.7677089696002
"164","T.Kelce","00-0030506",15,260.1,201.083739924482,13.4055826616321,59.016260075518
"165","C.Akers","00-0036414",7,23.8,19.6605213311839,2.80864590445484,4.13947866881612
"166","C.Kupp","00-0033908",15,161.8,156.233257814139,10.4155505209426,5.56674218586099
"167","D.Henderson","00-0035664",11,29.5,30.0916447012288,2.73560406374807,-0.591644701228756
"168","G.Everett","00-0033895",15,68.2,76.9314826772025,5.1287655118135,-8.73148267720246
"169","J.Reynolds","00-0033943",16,99.8,116.014452688568,7.25090329303548,-16.2144526885677
"170","M.Brown","00-0031806",15,27.7,34.674259055845,2.31161727038967,-6.97425905584499
"171","R.Woods","00-0030431",16,174.6,162.595421194967,10.1622138246855,12.0045788050327
"172","T.Higbee","00-0033110",15,104.1,84.8550655442638,5.65700436961759,19.2449344557362
"173","V.Jefferson","00-0036415",13,37.5,43.7847588536974,3.36805837336134,-6.28475885369741
